,job_title,company_name,date,location,skills,links,salary,responsabilites
39,Performance Analyst (HR),Confidential -,1 month ago,"Maadi, Cairo, Egypt ",Full timeEntry Level · 1+ Yrs of Exp · Performance Management · Performance · HR · Analysis · HTML · Digital Marketing · Microsoft Excel · Human Resources · Human Resources · Analyst/Research,https://wuzzuf.net/jobs/p/UlrhHjkC4CwY-Performance-Analyst-HR-Cairo-Egypt?o=40&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"Strong Excel background, problem-solving techniques. | Knowledge of analytics tools. | Bachelor’s Degree in Human Resources, Business, or related discipline. | 1+ years of work experience in a related field (Performance Management, HR). | Knowledge of managing people and performance. | Knowledge of Human Resources processes and procedures. | Knowledge of Human Resources policies and guidelines. | "
40,Workforce Analyst - Planner Analyst,Xceed,23 days ago,"6th of October, Giza, Egypt ",Full timeExperienced · 3+ Yrs of Exp · Workforce · Analysis · Reasearch · CMD · Microsoft Excel · Microsoft PowerPoint · Microsoft Word · Microsoft Outlook · CSR · Planning,https://wuzzuf.net/jobs/p/45L5HCUffyCD-Workforce-Analyst---Planner-Analyst-Xceed-Giza-Egypt?o=41&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,"Confidential, Bonus, Profit Share","Bachelor Degree. | 3 years of experience in the same function. | Call center experience is highly recommended. | Fluency in written and spoken Arabic and English. | Proficient user of Microsoft Office applications (Excel, PowerPoint, Word, Outlook). | Workforce planning skills. | Coaching and monitoring skills. | Business and technical analysis skills. | "
41,Junior Business Analyst,Silicon Egypt,25 days ago,"Nasr City, Cairo, Egypt ",Full timeEntry Level · 0 - 3 Yrs of Exp · Data Analysis · SW requirments · Computer Science · Microsoft Word · English · SDLC · Agile · Computer Skills · Business Analysis · Information Technology (IT),https://wuzzuf.net/jobs/p/VAZx5K6JIcPP-Junior-Business-Analyst-Silicon-Egypt-Cairo-Egypt?o=42&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,Minimum of 3-year experience in the field. | Strong knowledge about the SDLC agile environment | Fluency in the English language. | 
42,Senior Business Analyst,UnitLabs,1 month ago,"Dokki, Giza, Egypt ",Full timeExperienced · 4 - 7 Yrs of Exp · SDLC · Business Analyst · Analysis · SRS · SRD · Communication Skills · English · Analytical · System Analysis · Business Analysis,https://wuzzuf.net/jobs/p/2r68VkeuTl6V-Senior-Business-Analyst-UnitLabs-Giza-Egypt?o=43&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"Bachelor’s degree in any related field, preferably computer science. | From 4 to 7 years of experience in business and system analysis; preferably in the  software field. | Fluency in English. | Solid experience in writing Systems Reference Document (SRD) and Software requirements specification (SRS) documents. | Deep knowledge in business functions such as Customer Service, Sales Order Processing, Project Management, Accounting and Centralized Data Management. | Knowledge of localization industry is a plus. | Outstanding analytical capacity paired with a profound business sense. | Good background on SDLC. “Software Development Life cycle”. | Strong understanding of UML Diagrams. | Good interpersonal and communication skills. | Strong analytical skills. | Strong Problem-Solving skills. | "
43,Football Data Collector,StatsBomb,29 days ago,"Nasr City, Cairo, Egypt ",Full timeEntry Level · 0 - 1 Yrs of Exp · Football · Data · Collection · Entry · Sport · Statistics · Football League · Data Collection · Data Entry · Analyst/Research,https://wuzzuf.net/jobs/p/RpaKB9kujqu6-Football-Data-Collector-StatsBomb-Cairo-Egypt?o=44&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,"2,500 to 3,000 EGP per month",Solid football knowledge. | Good computer literacy. | The applicant must have a computer with appropriate high-Speed Internet access. | 
44,Data Entry,Alam Almaarifa,8 days ago,"Mohandessin, Giza, Egypt ",Full timeEntry Level · 0 - 4 Yrs of Exp · Data Entry · Administration · Microsoft Office · Admin · Customer Service · Microsoft Word · Excel · Data · Computer · Skills,https://wuzzuf.net/jobs/p/wRDvi7sbVJE9-Data-Entry-Alam-Almaarifa-Giza-Egypt?o=45&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,"1,500 to 2,000 EGP per month, 5",Holds a bachelor degree | 1-3 years of experience | Computer literate — general working knowledge of Microsoft Word and Excel required | Focused on high quality work | Prefer Giza or Mohandiseen residents | Females Only | 
45,Systems Analyst,(Delta Textile Egypt),3 days ago,"Nasr City, Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Information Technology (IT) · Computer Science · System Analysis · Analysis · Business Analysis · Software · Testing · Business · Programming · ERP,https://wuzzuf.net/jobs/p/Ak6jGmtp2MOD-Systems-Analyst-Delta-Textile-Egypt-Cairo-Egypt?o=46&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,"Confidential, Bonus","Bachelor's Degree in Computer Science, Information Technology, or a relevant field | 3–5 years of experience working with ERP and systems analysis. Strong ERP experience Infor M3 is preferred | Strong computer software, and analytical skills | Proven ability to assess business needs and translate them into relevant solutions | Strong understanding and knowledge of the principles and practices associated with database maintenance and administration | Experience installing, configuring, documenting, testing, training, and implementing new applications and systems | Working knowledge of a wide variety of programming languages | Highly proficient technical writing capabilities | English language proficiency (verbal and written). | "
46,Senior Business Intelligence Analyst,Arabian Systems,1 month ago,"New Cairo, Cairo, Egypt ",Full timeExperienced · 4+ Yrs of Exp · Tableau · Analytical · Science · Data · Engineering · Analysis · BI · Information Technology (IT) · intelligence · business,https://wuzzuf.net/jobs/p/bLlogXfLosPu-Senior-Business-Intelligence-Analyst-Arabian-Systems-Cairo-Egypt?o=47&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"Solid SQL skills and 4+ years of experience | Good experience with Tableau, DataStage, Oracle, Cognos, SPSS, Power BI | Strong understanding of analytical modeling | Excellent analytical and forecasting ability | Problem-solving mindset | BSc/BA in Computer Science, Engineering or relevant field. | Strong written and verbal communication skills | Capable of prioritizing multiple projects while still achieving deadlines | Experience building dashboards, reports, or tools | Experience with query optimization | Experience evaluating data integrity | "
47,"Senior Data Engineer "" EDW"" - KSA",SURE International Technology,1 month ago,"Riyadh, Saudi Arabia ",Full timeExperienced · 4+ Yrs of Exp · Information Technology (IT) · Computer Engineering · ETL · Data Modeling · Data Integration · NoSQL · Data Warehouse · Data Engineering · Computer Science · IT/Software Development,https://wuzzuf.net/jobs/p/JWnXtTJpkldz-Senior-Data-Engineer-EDW---KSA-SURE-International-Technology-Riyadh-Saudi-Arabia?o=48&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"Experience with database technologies:Relational technologies (Oracle, SQL Server, DB2, Postgres)NoSQL databases (e.g. Key-Value, Document, Graph, Multimodel)Cloud DB’s (e.g. Azure Synapse, Snowflake, Redshift, BigQuery, etc.) | Relational technologies (Oracle, SQL Server, DB2, Postgres) | NoSQL databases (e.g. Key-Value, Document, Graph, Multimodel) | Cloud DB’s (e.g. Azure Synapse, Snowflake, Redshift, BigQuery, etc.) | Expert knowledge in SQL | Experience data modeling | Experience with relational and dimensional data modeling including constructing database normalization utilizing data modeling tools to record, update, reverse engineer and generate DDL creating logical and physical data models for current and proposed states good verbal and written skills | Strong analytical thinking and problem-solving abilities | Demonstrate experience with the design, implementation, tuning, and troubleshooting of data integration tools (ETL, ESB, MDM, etc.) | Ability to take responsibility of projects & tasks and drive them to completion | "
48,Senior Financial Reporting Analyst,Nagwa,1 month ago,"Nasr City, Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Finance · Accounting · Financial Analysis · Reporting · English · Accounting/Finance,https://wuzzuf.net/jobs/p/XfqKtar4HJPO-Senior-Financial-Reporting-Analyst-Nagwa-Cairo-Egypt?o=49&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"Bachelor’s degree in Accounting /Finance. | 3-5 years of experience in relevant field | Excellent command of the English language | Good knowledge of MS Word, Excel, and PowerPoint | Excellent Reporting and Analytical skills | Details Oriented | "
49,Sales Analyst,Bingo Global,1 month ago,"Sheraton, Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Analysis · EXCEL · Sales · Indoor Sales · Marketing · Accounting · Management · Sales Skills · Business Development · Analyst/Research,https://wuzzuf.net/jobs/p/huCf0D4kivQ7-Sales-Analyst-Bingo-Global-Cairo-Egypt?o=50&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"Bachelor's degree in accounting, marketing or finance | Strong knowledge of word processing, spreadsheet, database and presentation software | Advanced problem-solving and analysis skills | Superior oral and written communication skills | High level of organization and detail-orientation | Strong work ethic and willingness to take initiative | Good attitude toward teamwork as well as the ability to work independently | Demonstrated ability to multitask and prioritize | Excellent time management | "
50,Operations Business Analyst,Caduceus Lane,1 month ago,"Alexandria, Egypt ",Full timeExperienced · 7+ Yrs of Exp · Business Development · Business Analysis · Operations · Analysis · Microsoft Office · Business · Business Development · Operations/Management · Analyst/Research,https://wuzzuf.net/jobs/p/PxRNSoEDWssL-Operations-Business-Analyst-Caduceus-Lane-Alexandria-Egypt?o=51&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"Bachelor's degree in Business Administration, Management, or a related field | Master’s degree in Business Administration is highly preferred | At least 7 years of experience in a professional business environment | Structure business models formulation, supported by strategic thinking skills | Fluent English and Arabic language proficiency (verbal and written) | Experienced in advanced matrix business models with multiple variable operational ecosystems. | Ability to drive components of large multi-functional projects and long-term phased plans | Exceptional verbal and written communication skills | Leading planning skills and systematic business mentality | A well-organized and detail-oriented mindset with an eagerness to grow | Advanced knowledge of and experience in data analysis skills using most updated business analysis methodologies | Ability to handle complaints and resolve disputes and conflicts | Professional operational mapping capacity with promising management leadership competencies | Strong quantitative skills empowered by advanced analytical methodologies, statistics validation techniques and operations performance effectiveness projections | "
51,Business Analyst,growthway,1 month ago,"Nasr City, Cairo, Egypt ",Full timeExperienced · 7 - 15 Yrs of Exp · Information Technology (IT) · Analysis · Computer Science · Business · Development · Analytical · Information Systems · Business Analysis · SQL · Data,https://wuzzuf.net/jobs/p/RPouOxm5V7ja-Business-Analyst-growthway-Cairo-Egypt?o=52&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"PMP certificate is a must. | Technical expertise regarding data models, database design development, data mining and segmentation techniques | Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc). | Strong analytical skills with the ability to collect, organize, analyse, and disseminate significant amounts of information with attention to detail and accuracy | Adept at queries, report writing and presenting findings | Good verbal and writing skills | Proficient in MS Word, Excel, PowerPoint and MS Project | "
52,Senior Marketing Analyst,Wadi Degla Group,1 month ago,"Maadi, Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Analyst · Marketing · Business Analysis · Analytical · Research · Marketing/PR/Advertising · Analyst/Research,https://wuzzuf.net/jobs/p/jtOIeIy7kgvM-Senior-Marketing-Analyst-Wadi-Degla-Group-Cairo-Egypt?o=53&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"Bachelor’s degree in Marketing, Communication, Business or related field. | Master’s degree /MBA is a plus. | Familiarity with the latest marketing trends and best practices. | Ability to conduct research and analyze data. | Organizational skills, experience meeting tight deadlines. | Excellent communication and teamwork skills. | "
53,Junior Data Scientist,Premier Services and Recruitment,10 days ago,"Downtown, Cairo, Egypt ",Full timeExperienced · 2 - 4 Yrs of Exp · Data Science · Data Scientist · AI · Machine Learning · Information Technology (IT) · Computer Science · Engineering · Python · SQL · javaScript,https://wuzzuf.net/jobs/p/pS4lWq5OmOXE-Junior-Data-Scientist-Premier-Services-and-Recruitment-Cairo-Egypt?o=54&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"Numeric background (degree or equivalent, Masters preferred) | Some business experience | Strong willingness to learn and can-do attitude  | Some ability to code (Python or R required, SQL and JS preferred) | Some experience with social listening and NLP tools | Some ability to devise statistical/econometric/machine learning models | Experience driving business value from consumer insight | Experience with visualization tools (Tableau, Qlik, D3 or equivalent)  | Some experience with consumer goods data sets | Passion for the social and digital world and its implications for business | "
54,Senior Business Systems Analyst,SAED,1 month ago,"Nasr City, Cairo, Egypt ",Full timeExperienced · 7+ Yrs of Exp · Business Analysis · System Analysis · Information Technology (IT) · Computer Science · Business · Analyst · IT · Systems Analyst · CBAP · Agile,https://wuzzuf.net/jobs/p/gGm8rYPAIc0Y-Senior-Business-Systems-Analyst-SAED-Cairo-Egypt?o=55&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,"Confidential, Bonus","Bachelor’s degree or higher in IT-related majors or an equivalent combination of education and experience | 7+ years of working experience as a Business Systems Analyst | Systems thinking skills, to be able to see the interactions and relationships between the people, processes, and technology involved in an environment. | Modeling skills, to represent requirements information in graphical forms that augment textual representations in natural language, including using modeling languages already established in the development organization. | Listening skills, to understand what people say and to detect what they might be hesitant to say. | Analytical skills, to critically evaluate the information gathered from multiple sources, reconcile conflicts, decompose high-level information into details, abstract up from low-level information to a more general understanding, distinguish presented user requests from the underlying true needs, and distinguish solution ideas from requirements. | Observational skills, to validate data obtained via other techniques and expose new areas for elicitation. | Communication skills, to communicate information effectively and inappropriate forms to customers, marketing, managers, and technical staff. | IIBA Certified Business Analysis Professional (CBAP) Certificate is Highly Preferred. | IIBA Agile Analysis Certification (AAC) Certificate is Highly Preferred. | Six Sigma Black Belt Certification is Highly Preferred | "
55,Quality Control Analyst,Hikma Pharmaceuticals,1 month ago,"6th of October, Giza, Egypt ",Full timeEntry Level · 1 - 2 Yrs of Exp · Quality · Quality Control · Analysis · Research · Pharmacy · HPLC · UV · GC · FTIR · Physical Testing,https://wuzzuf.net/jobs/p/v0SsQEL7604V-Quality-Control-Analyst-Hikma-Pharmaceuticals-Giza-Egypt?o=56&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,"Confidential, Excellent Remuneration Package, Medical Insurance, Profits, Incentive, Life Insurance, Annual Bonus, Etc",BSc. of Science - Pharmacy. | 
56,Business & System Analyst,Tech-Hub,1 month ago,"Dubai, United Arab Emirates ",Full timeManager · 15+ Yrs of Exp · Business Analysis · Computer Science · System Analysis · Analysis · Agile · Business · Communication Skills · English · Scrum · CBAP,https://wuzzuf.net/jobs/p/wMM931GNyvfT-Business-System-Analyst-Tech-Hub-Dubai-United-Arab-Emirates?o=57&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"15+ years’ experience in the domain of IT and Business and System Analysis. At least 5 projects as BSA. | 10+ years’ experience in the field of customs and border security. At least 3 projects. | Very strong communication skills are required. | Fluency in English and Arabic, written and spoken, a must. | Experience working in agile Scrum-based project required. | CBAP or IBM Certified BA. | ITIL certification and PMP a plus. | Must be able to create relationships and position themselves as the primary driver of change within the client’s organization. | Must be able to estimate scope, cost, schedule of a project and perform cost benefit analysis. | Proven ability to act as a functional team lead. | "
57,Senior Business Analyst,BusinessClouds,1 month ago,"Cairo, Egypt ",Full timeWork from homeExperienced · 5+ Yrs of Exp · Business Analysis · Information Technology (IT) · Analysis · MIS · Computer Science · Computer Skills · Business · Accounts Payable · General Ledger · IT/Software Development,https://wuzzuf.net/jobs/p/xuqFd0XhgnpI-Senior-Business-Analyst-BusinessClouds-Cairo-Egypt?o=58&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,Bachelor’s Degree in Computer Science or equivalent   | 
58,Systems Analyst,Caduceus Lane,1 month ago,"Alexandria, Egypt ",Full timeExperienced · 4 - 6 Yrs of Exp · Computer Science · Information Technology (IT) · Business Analysis · System Analysis · Software · Testing · Microsoft Office · Business · Programming · Database,https://wuzzuf.net/jobs/p/5nV0fr39Qb8E-Systems-Analyst-Caduceus-Lane-Alexandria-Egypt?o=59&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"Bachelor's Degree in Computer Science, Information Technology, or a relevant field | 4–6 years of experience working with information technologies and systems analysis | Strong computer, hardware, software, and analytical skills | Proven ability to assess business needs and translate them into relevant solutions | Strong understanding and knowledge of the principles and practices associated with database maintenance and administration | Experience installing, configuring, documenting, testing, training, and implementing new applications and systems | Working knowledge of a wide variety of programming languages | Highly proficient technical writing capabilities | Advanced knowledge of and experience in Microsoft office tools | English language proficiency (verbal and written) | "
59,Data Analysis & Forecasting,Confidential -,25 days ago,"Maadi, Cairo, Egypt ",Full timeExperienced · 3 - 4 Yrs of Exp · Data Analysis · Analysis · Computer Skills · Pivot Table · Sum IF · Vlookup · Economics · Excel · Retail · statistic,https://wuzzuf.net/jobs/p/XsYhoiyjO7uA-Data-Analysis-Forecasting-Cairo-Egypt?o=60&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,"Confidential, Bonuse","Bachelor degree of Economics and Political Science “ statistics” . | Retail experience is Must. | Excellent in Excel ( Vlookup, Sum IF, pivot table,.....etc) | Good in English. | Excellent computer skills. | Strong numerical and analytical skills | "
60,Business Analyst,Arabia for Information Technology,1 month ago,"Cairo, Egypt ",Full timeExperienced · 5+ Yrs of Exp · Computer Science · Software Engineering · Software Development · Engineering · Analyst · System Analysis · Information Technology (IT) · Computer Engineering · Programming · Analysis,https://wuzzuf.net/jobs/p/6Mbn2o9haAoS-Business-Analyst-Arabia-for-Information-Technology-Cairo-Egypt?o=61&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,BSc in Computer engineering or Computer Science. | Basic IT and programming skills | Strong analysis skills | Attention to detail | Must be self-motivated and able to work both independently and in conjunction with team members and product groups. | 
61,Senior Business Analyst,Travco Properties,1 month ago,"Sheikh Zayed, Giza, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Business Analysis · Development · Business Development · Finance · Analysis · English · Arabic · Business Administration · Business · Microsoft Office,https://wuzzuf.net/jobs/p/s4M2gI7laPXe-Senior-Business-Analyst-Travco-Properties-Giza-Egypt?o=62&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"BSc of Business Administration, Finance or related disciplines. | High proficiency in financial modeling techniques. | 3 - 5 years of experience in related fields. | Proficiency in MS Office. | Full working proficiency in both English and Arabic. | Individual with interact with the Business Development Director, TP’s respective departments, and individuals related to TP’s projects. | "
62,Senior Business Analyst,Confidential -,1 month ago,"Abu Rawash, Giza, Egypt ",Full timeExperienced · 3+ Yrs of Exp · Application Support · Information Technology (IT) · CRM · ETC · Application · Engineering · Computer Engineering · Computer Science · Computer · Cloud,https://wuzzuf.net/jobs/p/gvCbKyTddAwE-Senior-Business-Analyst-Giza-Egypt?o=63&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,+3 years of experience as a BI Developer. | 
63,Controlling Analyst - KSA,Smart System,1 month ago,"Riyadh, Saudi Arabia ",Full timeExperienced · 6 - 13 Yrs of Exp · Finance · CCHI · Accounting · Commerce · Business Administration · Audit · Accounting/Finance,https://wuzzuf.net/jobs/p/MnxYU1dk8PMS-Controlling-Analyst---KSA-Smart-System-Riyadh-Saudi-Arabia?o=64&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,6-13 years of experience  | 
64,Cost Accountant - Alexandria,Confidential -,13 days ago,"Alexandria, Egypt ",Full timeExperienced · 3+ Yrs of Exp · Accounting · Treasury · Financial Analysis · Excel · Finance · Cost Accounting · Cost Analyst · Cost Accountant · Vlookup · Accounting/Finance,https://wuzzuf.net/jobs/p/B3KTAVdwQU1e-Cost-Accountant---Alexandria-Alexandria-Egypt?o=65&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"Bachelor's degree in accounting or finance. | 3  years of experience in Accounting | Must have Excellent Excel Skills (Like Vlookup, Pivot table, data analysis,...,...) | Strong Numerical Skills. | High level of accuracy, confidentiality, and accountability. | To obtain an export certificate as a cost accountant, a cost analyst or an accountant. | Good knowledge of accounting procedures. | In-depth mastery of accounting principles . | Excellent skills with Microsoft Excel. | Excellent analytical skills with attention to details. | Can manage time and deal with different tasks | "
65,Senior Financial Analyst,IGI-Group,1 month ago,"Sheikh Zayed, Giza, Egypt ",Full timeExperienced · 4+ Yrs of Exp · Business Administration · Finance · Financial Analysis · CFA · Investment Banking · Accounting · Commerce · Accounting/Finance · Analyst/Research,https://wuzzuf.net/jobs/p/Bz7rKwWYx4ox-Senior-Financial-Analyst-IGI-Group-Giza-Egypt?o=66&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"Bachelors Degree in Finance. | Minimum (4) years of experience in financial analysis, Feasibility Studies and business valuation. | Real Estate and/or Investment Banking Sector is MANDATORY. | "
66,Admin & Marketing Analysis,Lecico Egypt,11 days ago,"Alexandria, Egypt ",Full timeEntry Level · 0 - 2 Yrs of Exp · Data Analysis · Administration · Computer Skills · English · Administration · Marketing/PR/Advertising · Analyst/Research,https://wuzzuf.net/jobs/p/iCsSduHAxXf0-Admin-Marketing-Analysis-Lecico-Egypt-Alexandria-Egypt?o=67&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,BSc Business Administration or any related. | Alexandria Resident. | Females Only. | Fluent in English. | Good knowledge of Microsoft package. | 
67,Planning/Monitoring & Budgeting Analyst,A.T Lease Egypt,1 month ago,"6th of October, Giza, Egypt ",Full timeExperienced · 10+ Yrs of Exp · Planning · Budegting · Analysis · Accounting · Finance · CMA · Forecasting · Budgeting · Accounting/Finance · Operations/Management,https://wuzzuf.net/jobs/p/xiU34kFJdS2T-PlanningMonitoring-Budgeting-Analyst-A-T-Lease-Egypt-Giza-Egypt?o=68&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,"6,000 to 9,000 EGP per month","Bachelor's degree in Accounting, Finance, or related field. | Professional qualifications in Accounting/Finance (e.g. CMA) are preferable. | Experience 10 years in Planning and Budgeting with at least 2 years related experience in financial leasing at the supervisory level.  | Excellent command of both English and Arabic languages. | Good supervisory skills and a team player. | Demonstrated knowledge of Accounting standards, financial systems, and Regulatory provisions. | Knowledge of KPIs, Planning, Budgeting, Investment Evaluation, Principles and Practices of corporate finance, Egyptian Accounting Standards, short and long-term financial forecasting, and reporting practices. | Analytical presentation and reporting skills. | Good communication, interpersonal, and problem-solving skills | "
68,Senior Systems Analyst,El-Taef,1 month ago,"Giza, Egypt ",Full timeExperienced · 4 - 7 Yrs of Exp · Information Technology (IT) · Analysis · System Analysis · Analytical · Computer Science · UML · Agile · Development · Design · English,https://wuzzuf.net/jobs/p/qCRSm4XmBrSv-Senior-Systems-Analyst-El-Taef-Giza-Egypt?o=69&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"Years of experience: 4 years of work experience | Excellent communication and presentation skills | Excellent analytical skills | Fluent in written and spoken English and Arabic | Bachelor’s degree in Computer Science or related discipline is preferred | Good knowledge in Enterprise Architect, Prototyping tools, UML-based collaborative modeling, design and management platforms, wireframe, web-based solution, RESTful Services, Cloud-based technology, XML, mobile-based solutions and other recognized industry standards for application development. | Good knowledge in Agile Methodology especially in SCRUM Method. | "
69,Research Associate - Remotely,Confidential -,8 days ago,"Ain Shams, Cairo, Egypt ",Full timeWork from homeEntry Level · 1 - 2 Yrs of Exp · English · Research · Market Research · Data Analysis · Analyst/Research,https://wuzzuf.net/jobs/p/Ul0TsBPVJAaR-Research-Associate---Remotely-Cairo-Egypt?o=70&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"Excellent English speaking and writing skills   | Proficiency in using MS-Office, internet applications and reporting tools   | Attention to details   | Strong communication skills   | Strong sense of responsibility   | Should be able to work on their own or in a team and take initiative.   | Should be a team player.   | Hardworking & flexible   | "
70,Cost Controller,Sima Food Industries,29 days ago,"Cairo, Egypt ",Full timeExperienced · 3+ Yrs of Exp · CMA · CPA · Accounting · Taxation · Finance · Tax Analyst · Microsoft Excel · Tax Reporting · Tax Reports · Tax,https://wuzzuf.net/jobs/p/5kYb8INb7Rgl-Cost-Controller-Sima-Food-Industries-Cairo-Egypt?o=71&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,Experience in FMCG | Bachelor degree in commerce | Excellent knowledge of MS Office Applications. | 
71,Junior Economic Researcher,"The Micro, Small & Medium Enterprise Development Agency ",19 days ago,"Dokki, Giza, Egypt ",Full timeExperienced · 3+ Yrs of Exp · Project Management · MSME · English · Economics · Socioeconomic Research · Policies · Financial Analysis · Data Analysis · Accounting/Finance · Analyst/Research,https://wuzzuf.net/jobs/p/Gv1CEUukLvNE-Junior-Economic-Researcher-The-Micro-Small-Medium-Enterprise-Development-Agency-Giza-Egypt?o=72&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,"4,000 to 10,000 EGP per month","Education degree in Economics or other relevant field. | At least 3 years working experience (economic and socioeconomic researches and policies).  | Fluent in English (writing and speaking). | Proven knowledge in both national and international MSMEs related reports and studies is desired. | Analytical mindset and good problem-solving skills. | Excellent presentation, report writing and communication skills.  | Excellent interpersonal skills. | Project management skills. | "
72,Data Validation Specialist,GS1,1 month ago,"Heliopolis, Cairo, Egypt ",Full timeEntry Level · 1 - 3 Yrs of Exp · Data Validation · Data Entry · Data Quality · Writing/Editorial · Quality · Analyst/Research,https://wuzzuf.net/jobs/p/bxaB2PSeZBws-Data-Validation-Specialist-GS1-Cairo-Egypt?o=73&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"Experience with various Microsoft Office programs (Excel, PowerPoint, etc.) is a must. | Experience with search engine optimization a plus. | Writing, proofreading, and editing skills. | Detail-oriented, having an eye for spotting out issues. | Expert in researching a product and validating its information. | Experience with creating reports and analyzing data. | Experience in bulk data manipulation. | "
73,GIS Specialist/Data Entry - مدخل بيانات و أخصائي نظم معلومات جغرافية,Geopro,1 month ago,"Nasr City, Cairo, Egypt ",Full timeEntry Level · 1 - 3 Yrs of Exp · ArcGIS · MSOffice · GIS · MS Office · Topology · Geo-Processing Tools · Geography · Geographic Information System · IT/Software Development · Analyst/Research,https://wuzzuf.net/jobs/p/wDA96MWWBSxD-GIS-SpecialistData-Entry---مدخل-بيانات-و-أخصائي-نظم-معلومات-جغرافية-Geopro-Cairo-Egypt?o=74&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,"Confidential, توجد حوافز للإجادة واوفر تايم 
Incentives & Overtime",من 1 الى 3 سنوات خبرة في مجال الـ GIS | كفاءة عالية في استخدام برنامج ArcGIS | إجادة التعامل مع أدوات مراقبة جودة بيانات نظم المعلومات الجغرافية (Topology) | سرعة ودقة ادخال البيانات الوصفية Attributes | 
74,Cost Accountant-Mansoura,Milano,1 month ago,"Mansoura, Dakahlia, Egypt ",Full timeExperienced · 2 - 5 Yrs of Exp · Finance · Cost Accountant · Accounting · Financial Analysis · Cost Accounting · Accounting Principles · Cost Analyst · Accounting/Finance,https://wuzzuf.net/jobs/p/Ip0hnKTSFywP-Cost-Accountant-Mansoura-Milano-Dakahlia-Egypt?o=75&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"Bachelor's degree in accounting or finance. | To obtain an export certificate as a cost accountant, a cost analyst or an accountant. | Good knowledge of accounting procedures. | In-depth mastery of accounting principles . | Readiness on accounting programs like Microsoft Excel. | Excellent analytical skills with attention to details. | Can manage time and deal with different tasks | "
75,Data Annotator,Master Linux,4 days ago,"Heliopolis, Cairo, Egypt ",Full timeEntry Level · 1 - 5 Yrs of Exp · English · Deep Learning · IT Information Technology · Computer Science · Data Annotator · Annotation · Machine Learning · Artificial Intelligence · Computer Vision · Analysis,https://wuzzuf.net/jobs/p/W8TReOdE2ceB-Data-Annotator-Master-Linux-Cairo-Egypt?o=76&l=sp&t=sj&a=data analyst|search-v3|navbl|spbl,Confidential,"An excellent communicator in verbal and written English | Highly motivated, energetic and result oriented | Organized, proactive and detail oriented | Patient and comfortable with repetitive tasks | Self-motivated to work independently | Some technical background preferred | "
